request_id,LOG_DATE,URL,REFERER,REMOTE_IP,HTTP_VERB,PORT,QUERY_STRING,HTTP_STATUS,SESSION_ID,REMOTE_USER,TIME_MILI,TIME_SEC,RESPONSE_BYTES,USER_AGENT,SERVER_IP,CONTENT_TYPE,PENTAHO_SECURITY,FILE_NAME,ROW_NUM,FILE_NAME_SHORT,FILE_PATH,YEAR,MONTH,DAY_MONTH,DAY_WEEK,DAY_YEAR,WEEK,one,two,thre,four,USER_NAME,five,six,seven,eight,nine,ROLE_NAMES,junk,browser_name,engine_name,os_name,device_name,os_version,browser_version,browser_major,plugin,HOUR,MINUTE,SECOND,enconding,FULL_URL,BASE_URL,IS_RESOURCE,IS_REPORT,IS_SERVLET,IS_SERVICE,IS_OTHER
0-157-38-29-162-198-31-134-23-222-255-37-33-194-174-50,[30/Aug/2018:04:27:18 +0100],/pentaho/content/default-plugin/resources/messages/messages_supported_languages.properties                                                                                                                                                                      ,http://localhost:8080/pentaho/Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,8,0,56,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/plain               ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,49,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,default-plugin                                                                                                                  ,16,27,18,                         ,/pentaho/content/default-plugin/resources/messages/messages_supported_languages.propertiesnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,content/default-plugin/resources/messages/messages_supported_languages.properties                                                                                                                                                                               ,1,0,0,0,0
1-120-50-57-68-210-71-217-188-121-20-250-21-212-76-237,[30/Aug/2018:04:27:35 +0100],/pentaho/content/analyzer/styles/themes/ruby/images/checkmark.png                                                                                                                                                                                               ,http://localhost:8080/pentaho/content/analyzer/styles/themes/ruby/anaRuby.css                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,7,0,1102,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,image/png                ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,300,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,analyzer                                                                                                                        ,16,27,35,                         ,/pentaho/content/analyzer/styles/themes/ruby/images/checkmark.pngnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,content/analyzer/styles/themes/ruby/images/checkmark.png                                                                                                                                                                                                        ,1,0,0,0,0
1-202-74-181-113-2-17-135-149-191-110-118-177-73-126-239,[30/Aug/2018:04:27:31 +0100],/pentaho/api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/layout/BorderContainer.css                                                                                                                                                                 ,http://localhost:8080/pentaho/api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/pentaho.css                                                                                                                                                                                                                                                                                                                                                                                                                           ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,19,0,1508,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/css                 ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,181,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,api                                                                                                                             ,16,27,31,                         ,/pentaho/api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/layout/BorderContainer.cssnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/layout/BorderContainer.css                                                                                                                                                                          ,1,0,0,0,0
10-109-231-42-7-106-250-190-207-168-3-11-41-17-65-39,[30/Aug/2018:04:27:31 +0100],/pentaho/api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/Dialog_rtl.css                                                                                                                                                                             ,http://localhost:8080/pentaho/api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/tundra_rtl.css                                                                                                                                                                                                                                                                                                                                                                                                                        ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,18,0,89,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/css                 ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,204,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,api                                                                                                                             ,16,27,31,                         ,/pentaho/api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/Dialog_rtl.cssnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,api/repos/common-ui/resources/web/dojo/dijit/themes/pentaho/Dialog_rtl.css                                                                                                                                                                                      ,1,0,0,0,0
10-119-19-72-73-71-136-194-102-120-110-177-57-127-172-223,[30/Aug/2018:04:27:19 +0100],/pentaho/api/repos/dashboards/resources/messages/messages_en.properties                                                                                                                                                                                         ,http://localhost:8080/pentaho/Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,7,0,9548,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/plain               ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,91,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,api                                                                                                                             ,16,27,19,                         ,/pentaho/api/repos/dashboards/resources/messages/messages_en.propertiesnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,api/repos/dashboards/resources/messages/messages_en.properties                                                                                                                                                                                                  ,1,0,0,0,0
10-37-36-152-85-165-233-90-70-28-145-4-121-48-71-23,[30/Aug/2018:04:27:31 +0100],/pentaho/content/common-ui/resources/web/pentaho/visual/role/externalMapping.js                                                                                                                                                                                 ,http://localhost:8080/pentaho/api/repos/xanalyzer/editor?showFieldList=true&showFieldLayout=true&catalog=SteelWheels&cube=SteelWheelsSales&autoRefresh=true&showRepositoryButtons=                                                                                                                                                                                                                                                                                                                                              ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,7,0,4212,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/javascript          ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,239,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,common-ui                                                                                                                       ,16,27,31,                         ,/pentaho/content/common-ui/resources/web/pentaho/visual/role/externalMapping.jsnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,content/common-ui/resources/web/pentaho/visual/role/externalMapping.js                                                                                                                                                                                          ,1,0,0,0,0
10-46-154-48-147-80-53-11-241-117-11-213-17-218-174-112,[30/Aug/2018:04:27:18 +0100],/pentaho/content/default-plugin/resources/messages/messages_en.properties                                                                                                                                                                                       ,http://localhost:8080/pentaho/Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,7,0,120,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/plain               ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,72,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,default-plugin                                                                                                                  ,16,27,18,                         ,/pentaho/content/default-plugin/resources/messages/messages_en.propertiesnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,content/default-plugin/resources/messages/messages_en.properties                                                                                                                                                                                                ,1,0,0,0,0
10-85-48-131-76-180-246-172-244-181-200-42-212-95-213-118,[30/Aug/2018:04:27:18 +0100],/pentaho/api/repo/files/canAdminister                                                                                                                                                                                                                           ,http://localhost:8080/pentaho/Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,5,0,14,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/plain               ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,42,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,api                                                                                                                             ,16,27,18,                         ,/pentaho/api/repo/files/canAdministernull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,api/repo/files/canAdminister                                                                                                                                                                                                                                    ,0,0,0,0,0
100-44-8-51-159-187-16-173-118-20-232-232-197-85-146-106,[30/Aug/2018:04:27:31 +0100],/pentaho/content/analyzer/scripts/compressed/viz-plugins.js                                                                                                                                                                                                     ,http://localhost:8080/pentaho/api/repos/xanalyzer/editor?showFieldList=true&showFieldLayout=true&catalog=SteelWheels&cube=SteelWheelsSales&autoRefresh=true&showRepositoryButtons=                                                                                                                                                                                                                                                                                                                                              ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,7,0,2152,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/javascript          ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,226,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,analyzer                                                                                                                        ,16,27,31,                         ,/pentaho/content/analyzer/scripts/compressed/viz-plugins.jsnull                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,content/analyzer/scripts/compressed/viz-plugins.js                                                                                                                                                                                                              ,1,0,0,0,0
101-201-52-58-96-178-31-0-95-21-242-72-116-199-133-120,[30/Aug/2018:04:27:10 +0100],/pentaho/                                                                                                                                                                                                                                                       ,http://localhost:8080/pentaho/Login                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0:0:0:0:0:0:0:1,GET         ,8080,                                                                                                                                                                                                                                                                ,200,3BAFADDF0D161393A133C7085D6932F3,-   ,34,0,252,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0                                                  ,10.0.75.1      ,text/html                ,"org.springframework.security.core.context.SecurityContextImpl@6908f005: Authentication: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: Administrator,Authenticated; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.secu",C:\Pentaho\server\pentaho-server\tomcat\logs\http_access..2018-08-30.log                            ,10,http_access..2018-08-30.log                                                                         ,C:\Pentaho\server\pentaho-server\tomcat\logs                                                        ,2018,8,30,5,242,35,org.springframework.security.core.context.SecurityContextImpl@6908f005, Authentication, org.springframework.security.authentication.UsernamePasswordAuthenticationToken@6908f005, Principal                                        , org.springframework.security.core.userdetails.Use, Username, admin; Password, [PROTECTED]; Enabled, true; AccountNonExpired, true; credentialsNonExpired, true                                                                                                                                                                                                                                                           , AccountNonLocked,Firefox                                           ,Gecko                                             ,Windows                                           ,undefined                                         ,NT 10.0                                           ,61,61,                                                                                                                                ,16,27,10,charset=ISO-8859-1       ,/pentaho/null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                ,0,0,0,0,0
